sector,average_salary
"Biotech & Pharmaceuticals",111.77
Insurance,105.94
Finance,97.37
"Information Technology",112.99
Manufacturing,84.23
Retail,107.08
"Real Estate",106.5
"Business Services",98.13
Telecommunications,131.5
"Aerospace & Defense",99.06
"Health Care",67.62
"Oil, Gas, Energy & Utilities",80.46
Media,116.67
"Transportation & Logistics",99.31
"Mining & Metals",104
Government,78.55
Education,100.74
"Agriculture & Forestry",80.5
"Travel & Tourism",69.5
Non-Profit,68.61
"Arts, Entertainment & Recreation",48.5
"Construction, Repair & Maintenance",26.5
"Accounting & Legal",113.5
"Consumer Services",99.88
