company_ISIN,"Rating Compensation Benefits","Overall Rating","Average Salary"
MX01WA000038,3.3,3.29,1390
JP3463000004,4.04,3.9,1322.86
CH0012005267,4.01,3.99,1140.71
US48203R1041,4.01,4.1,1315
FR0013154002,3.45,3.62,1080
US29476L1070,3.89,3.97,1300
US92826C8394,3.88,3.94,1528.33
CH0126881561,3.88,4.01,1230
US3848021040,3.94,4,1795
US09061G1013,4.09,3.78,1680
US1713401024,3.78,3.82,1095
US9581021055,3.43,3.78,1471.67
US5398301094,3.98,4.09,890
INE009A01021,2.87,3.61,625
GB0009895292,4.02,3.99,1245
CLP1506A1070,3.99,3.82,625
US1729674242,3.66,3.66,1165
US5253271028,3.65,3.85,1015
GB00BN7SWP63,4.07,4.12,875
US00724F1012,4.23,4.21,1620
US46266C1053,3.51,3.83,1115
JP3732000009,3,3.67,1030
